time,symbol,side,long,short,confidence,price
2026-08-25T23:15:56.687621+00:00,BTC,WAIT,60,10,60,12570000.0
2026-08-25T23:15:56.687643+00:00,ETH,WAIT,34,10,34,391034.0
2026-08-25T23:15:56.687649+00:00,XRP,WAIT,14,34,34,230.211
2026-08-25T23:15:56.687655+00:00,SOL,WAIT,32,20,32,15473.0
2026-08-25T23:21:36.703405+00:00,BTC,WAIT,60,10,60,12570000.0
2026-08-25T23:21:36.703442+00:00,ETH,WAIT,34,10,34,391034.0
2026-08-25T23:21:36.703448+00:00,XRP,WAIT,14,34,34,230.211
2026-08-25T23:21:36.703454+00:00,SOL,WAIT,32,20,32,15473.0
2026-08-25T23:27:17.691326+00:00,BTC,WAIT,60,10,60,12570000.0
2026-08-25T23:27:17.691347+00:00,ETH,WAIT,34,10,34,391034.0
2026-08-25T23:27:17.691353+00:00,XRP,WAIT,14,34,34,230.211
2026-08-25T23:27:17.691360+00:00,SOL,WAIT,32,20,32,15473.0
2026-08-25T23:32:57.295648+00:00,BTC,WAIT,32,22,32,12539327.0
2026-08-25T23:32:57.295670+00:00,ETH,WAIT,24,10,24,390499.0
2026-08-25T23:32:57.295675+00:00,XRP,WAIT,14,46,46,230.041
2026-08-25T23:32:57.295682+00:00,SOL,WAIT,32,34,34,15459.0
2026-08-25T23:38:37.634796+00:00,BTC,WAIT,32,22,32,12539327.0
2026-08-25T23:38:37.634818+00:00,ETH,WAIT,24,10,24,390499.0
2026-08-25T23:38:37.634823+00:00,XRP,WAIT,14,46,46,230.041
2026-08-25T23:38:37.634830+00:00,SOL,WAIT,32,34,34,15459.0
2026-08-25T23:44:17.825614+00:00,BTC,WAIT,32,22,32,12539327.0
2026-08-25T23:44:17.825635+00:00,ETH,WAIT,24,10,24,390499.0
2026-08-25T23:44:17.825641+00:00,XRP,WAIT,14,46,46,230.041
2026-08-25T23:44:17.825647+00:00,SOL,WAIT,32,34,34,15459.0
2026-08-25T23:49:58.641929+00:00,BTC,WAIT,32,30,32,12512176.0
